
# By.ÀÚÀ¯

¿ì¸®,Ê¯,Ä¾,Æ¤,¹Ç,Ïß,1,14,4.50,20,12,15,25,150,11,80,20,0,0,0,0,0,0,0,0,1,10,,,,,,0,1,1,6,100250,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,0
µÎ¸®,Ê¯,Ä¾,¹Ç,Ïß,ÑÀ,2,18,4.50,22,23,11,23,100,11,0,40,60,0,0,0,0,0,0,0,1,2,,,,,,0,1,1,6,100251,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,0
¾ó·è¿ì¸®,Ê¯,Ä¾,Æ¤,¹Ç,Ïß,3,15,4.50,22,17,19,17,150,11,100,0,0,0,0,0,0,0,0,0,1,20,,,,,,0,1,1,6,100252,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,0
ºÒ±×¸®,Ê¯,Ä¾,¹Ç,Ïß,ÑÀ,4,19,4.50,25,23,19,33,300,-1,0,0,70,30,0,0,0,0,0,0,1,2,,,,,,0,10,10,7,100253,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,0
½Ç¹ö¿ì¸®,Ê¯,Ä¾,Æ¤,¹Ç,Ïß,5,20,4.50,22,22,24,27,300,-1,50,0,0,50,0,0,0,0,0,0,1,2,11,20,,,,0,10,10,7,100388,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,0
¾ó·è¿ì¸®,Ê¯,Ä¾,Æ¤,¹Ç,Ïß,6,25,4.50,30,24,27,24,100,11,50,0,0,50,0,0,0,0,0,0,1,20,,,,,,2,1,1,7,100252,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,0
ºÎºñ,Èâ,Óã,´®,ÂÑ,ÑÎ,11,15,4.50,42,20,16,12,240,5,80,20,0,0,0,0,0,0,0,0,1,201,,,,,,0,2,0,5,100254,1,0,,600,600,,600,600,,600,600,,600,600,,600,600,,1
°ñµåºÎºñ,Èâ,Óã,´®,ÂÑ,ÑÎ,12,25,4.50,31,20,32,12,270,-1,0,0,30,70,0,0,0,0,0,0,1,2,201,3,,,,1,10,10,7,100255,1,0,,600,600,,600,600,,600,600,,600,600,,600,600,,1
ºÎÀÌ,Èâ,Óã,´®,ÂÑ,ÑÎ,13,22,4.50,44,21,16,13,240,5,60,40,0,0,0,0,0,0,0,0,1,201,,,,,,0,2,0,5,100256,1,0,,600,600,,600,600,,600,600,,600,600,,600,600,,1
ºÎÀÌºñ,Èâ,Óã,´®,ÂÑ,ÑÎ,14,16,4.50,32,26,15,18,240,5,0,40,60,0,0,0,0,0,0,0,1,201,,,,,,0,2,0,5,100257,1,0,,600,600,,600,600,,600,600,,600,600,,600,600,,1
¾ó·èºÎÀÌºñ,Èâ,Óã,´®,ÂÑ,ÑÎ,15,23,4.50,30,28,14,20,240,5,100,0,0,0,0,0,0,0,0,0,1,201,3,,,,,1,2,0,5,100258,1,0,,600,600,,600,600,,600,600,,600,600,,600,600,,1
²¿¹Ì,Èâ,Óã,Ã×,ÂÑ,ÒûÓÃË®,21,22,4.50,22,23,19,23,210,7,0,0,60,40,0,0,0,0,0,0,1,2,202,,,,,0,0,1,5,100259,1,0,,500,500,,500,500,,500,500,,500,500,,500,500,,6
²¿ºñ,Èâ,Óã,Ã×,ÂÑ,ÒûÓÃË®,22,20,4.50,21,22,18,28,210,7,50,0,0,50,20,0,0,0,0,0,1,60,202,,,,,0,0,1,5,100260,1,0,,500,500,,500,500,,500,500,,500,500,,500,500,,6
²¿¹Ì¿À,Èâ,Óã,Ã×,ÂÑ,ÒûÓÃË®,23,18,4.50,22,22,18,28,240,5,0,0,0,100,0,0,0,0,0,0,1,2,203,,,,,0,0,1,5,100261,1,0,,500,500,,500,500,,500,500,,500,500,,500,500,,6
²¿²¿ºñ,Èâ,Óã,Ã×,ÂÑ,ÒûÓÃË®,24,16,4.50,21,22,18,25,210,5,0,0,30,70,0,0,0,0,0,20,1,90,204,,,,,0,0,1,5,100262,1,0,,500,500,,500,500,,500,500,,500,500,,500,500,,6
ÇªÇª,Èâ,Óã,Ã×,ÂÑ,ÒûÓÃË®,31,13,4.50,17,20,10,32,150,11,30,0,0,70,0,0,0,0,0,0,1,2,205,,,,,0,0,1,6,100263,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,7
¿ìÇª,Èâ,Óã,Ã×,ÂÑ,ÒûÓÃË®,32,15,4.50,18,21,7,33,150,11,0,0,60,40,0,0,0,0,0,0,1,2,205,,,,,0,0,1,6,100264,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,7
ÅõÅõ,Èâ,Óã,Ã×,ÂÑ,ÒûÓÃË®,33,17,4.50,23,19,11,26,150,11,30,70,0,0,0,0,0,0,0,0,1,2,206,,,,,0,0,1,6,100265,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,7
¿ÀÅõÅõ,Èâ,Óã,Ã×,ÂÑ,ÒûÓÃË®,34,20,4.50,17,18,15,29,100,11,60,0,0,40,0,0,0,0,0,0,1,2,,,,,,0,0,1,6,100266,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,7
ÁÖÀÛÀÇ Ä«Å°,Èâ,Óã,´®,Ã×,,39,30,4.50,20,55,11,32,300,-5,0,0,100,0,1,1,1,1,1,1,1,2,90,317,500,,,2,1,1,7,100370,0,0,,700,700,,700,700,,700,700,,700,700,,700,700,,28
Çö¹«ÀÇ µ¹ºÏÀÌ,Èâ,Óã,´®,Ã×,,40,30,4.50,26,29,50,18,300,-5,100,0,0,0,1,1,1,1,1,1,1,2,305,110,580,,,2,1,1,6,100274,0,0,,700,700,,700,700,,700,700,,700,700,,700,700,,28
º£·Ð,Ä¾,Æ¤,¹Ç,Ïß,ÑÀ,41,24,4.50,30,12,30,15,210,7,0,100,0,0,0,0,0,0,0,0,1,2,207,,,,,0,0,0,5,100267,1,1,,700,700,,700,700,,700,700,,700,700,,700,700,,10
º£·Î·ÎÅ©,Ä¾,Æ¤,¹Ç,Ïß,ÑÀ,42,19,4.50,29,14,32,13,210,7,70,30,0,0,60,0,0,-20,0,0,1,2,207,,,,,0,0,0,5,100268,1,1,,700,700,,700,700,,700,700,,700,700,,700,700,,10
º£·Îº¸Å©,Ä¾,Æ¤,¹Ç,Ïß,ÑÀ,43,23,4.50,30,13,31,14,210,7,30,70,0,0,0,0,0,30,0,0,1,2,208,,,,,0,0,0,5,100269,1,1,,700,700,,700,700,,700,700,,700,700,,700,700,,10
º£·ÎÆ÷¸®,Ä¾,Æ¤,¹Ç,Ïß,ÑÀ,44,22,4.50,29,16,30,15,240,5,0,30,70,0,0,0,0,0,0,30,1,2,208,211,,,,0,0,0,5,100270,1,1,,700,700,,700,700,,700,700,,700,700,,700,700,,10
